IsoDatetime,forced_outages_mw,planned_outages_mw,forced_outages_uncertainty_mw,planned_outages_uncertainty_mw
2016-10-01T00:00:00,6.0,465.0,0.0,0.0
2016-10-01T01:00:00,6.0,465.0,0.0,0.0
2016-10-01T02:00:00,6.0,465.0,0.0,0.0
2016-10-01T03:00:00,6.0,465.0,0.0,0.0
2016-10-01T04:00:00,6.0,465.0,0.0,0.0
2016-10-01T05:00:00,6.0,465.0,0.0,0.0
2016-10-01T06:00:00,6.0,465.0,0.0,0.0
2016-10-01T07:00:00,6.0,465.0,0.0,0.0
2016-10-01T08:00:00,6.0,465.0,0.0,0.0
2016-10-01T09:00:00,6.0,465.0,0.0,0.0
2016-10-01T10:00:00,6.0,465.0,0.0,0.0
2016-10-01T11:00:00,6.0,465.0,0.0,0.0
2016-10-01T12:00:00,8.0,465.0,0.0,0.0
2016-10-01T13:00:00,8.0,465.0,0.0,0.0
2016-10-01T14:00:00,8.0,465.0,0.0,0.0
2016-10-01T15:00:00,8.0,465.0,0.0,0.0
2016-10-01T16:00:00,8.0,465.0,0.0,0.0
2016-10-01T17:00:00,8.0,465.0,0.0,0.0
2016-10-01T18:00:00,8.0,465.0,0.0,0.0
2016-10-01T19:00:00,8.0,465.0,0.0,0.0
2016-10-01T20:00:00,8.0,465.0,0.0,0.0
2016-10-01T21:00:00,8.0,465.0,0.0,0.0
2016-10-01T22:00:00,8.0,465.0,0.0,0.0
2016-10-01T23:00:00,8.0,465.0,0.0,0.0
2016-10-02T00:00:00,8.0,465.0,0.0,0.0
2016-10-02T01:00:00,8.0,465.0,0.0,0.0
2016-10-02T02:00:00,8.0,465.0,0.0,0.0
2016-10-02T03:00:00,8.0,465.0,0.0,0.0
2016-10-02T04:00:00,8.0,465.0,0.0,0.0
2016-10-02T05:00:00,8.0,465.0,0.0,0.0
2016-10-02T06:00:00,8.0,465.0,0.0,0.0
2016-10-02T07:00:00,28.0,465.0,0.0,0.0
2016-10-02T08:00:00,28.0,465.0,0.0,0.0
2016-10-02T09:00:00,28.0,465.0,0.0,0.0
2016-10-02T10:00:00,28.0,465.0,0.0,0.0
2016-10-02T11:00:00,28.0,465.0,0.0,0.0
2016-10-02T12:00:00,13.0,465.0,0.0,0.0
2016-10-02T13:00:00,8.0,465.0,0.0,0.0
2016-10-02T14:00:00,8.0,465.0,0.0,0.0
2016-10-02T15:00:00,8.0,439.0,0.0,0.0
2016-10-02T16:00:00,118.0,413.0,0.0,0.0
2016-10-02T17:00:00,118.0,413.0,0.0,0.0
2016-10-02T18:00:00,165.5,413.0,9.5,0.0
2016-10-02T19:00:00,115.0,413.0,0.0,0.0
2016-10-02T20:00:00,22.0,413.0,0.0,0.0
2016-10-02T21:00:00,11.5,413.0,0.0,0.0
2016-10-02T22:00:00,8.0,413.0,0.0,0.0
2016-10-02T23:00:00,8.0,413.0,0.0,0.0
2016-10-03T00:00:00,8.0,413.0,0.0,0.0
2016-10-03T01:00:00,8.0,413.0,0.0,0.0
2016-10-03T02:00:00,8.0,413.0,0.0,0.0
2016-10-03T03:00:00,8.0,413.0,0.0,0.0
2016-10-03T04:00:00,8.0,413.0,0.0,0.0
2016-10-03T05:00:00,8.0,413.0,0.0,0.0
2016-10-03T06:00:00,8.0,411.0,0.0,0.0
2016-10-03T07:00:00,8.0,409.0,0.0,0.0
2016-10-03T08:00:00,8.0,409.0,0.0,0.0
2016-10-03T09:00:00,27.0,409.0,0.0,0.0
2016-10-03T10:00:00,27.0,409.0,0.0,0.0
2016-10-03T11:00:00,27.0,409.0,0.0,0.0
2016-10-03T12:00:00,27.0,409.0,0.0,0.0
2016-10-03T13:00:00,27.0,409.0,0.0,0.0
2016-10-03T14:00:00,27.0,409.0,0.0,0.0
2016-10-03T15:00:00,27.0,409.0,0.0,0.0
2016-10-03T16:00:00,27.0,409.0,0.0,0.0
2016-10-03T17:00:00,37.0,409.0,0.0,0.0
2016-10-03T18:00:00,35.0,409.0,0.0,0.0
2016-10-03T19:00:00,41.0,409.0,0.0,0.0
2016-10-03T20:00:00,41.0,409.0,0.0,0.0
2016-10-03T21:00:00,41.0,409.0,0.0,0.0
2016-10-03T22:00:00,41.0,409.0,0.0,0.0
2016-10-03T23:00:00,41.0,409.0,0.0,0.0
2016-10-04T00:00:00,41.0,409.0,0.0,0.0
2016-10-04T01:00:00,41.0,409.0,0.0,0.0
2016-10-04T02:00:00,41.0,409.0,0.0,0.0
2016-10-04T03:00:00,41.0,409.0,0.0,0.0
2016-10-04T04:00:00,41.0,409.0,0.0,0.0
2016-10-04T05:00:00,37.5,409.0,0.5,0.0
2016-10-04T06:00:00,32.25,409.0,0.0,0.0
2016-10-04T07:00:00,18.0,409.0,0.0,0.0
2016-10-04T08:00:00,18.0,409.0,0.0,0.0
2016-10-04T09:00:00,422.0,409.0,0.0,0.0
2016-10-04T10:00:00,422.0,409.0,0.0,0.0
2016-10-04T11:00:00,422.0,409.0,0.0,0.0
2016-10-04T12:00:00,422.0,409.0,0.0,0.0
2016-10-04T13:00:00,422.0,409.0,0.0,0.0
2016-10-04T14:00:00,422.0,409.0,0.0,0.0
2016-10-04T15:00:00,422.0,409.0,0.0,0.0
2016-10-04T16:00:00,422.0,409.0,0.0,0.0
2016-10-04T17:00:00,422.0,409.0,0.0,0.0
2016-10-04T18:00:00,422.0,409.0,0.0,0.0
2016-10-04T19:00:00,422.0,409.0,0.0,0.0
2016-10-04T20:00:00,508.0,409.0,0.0,0.0
2016-10-04T21:00:00,508.0,409.0,0.0,0.0
2016-10-04T22:00:00,508.0,409.0,0.0,0.0
2016-10-04T23:00:00,508.0,409.0,0.0,0.0
2016-10-05T00:00:00,508.0,409.0,0.0,0.0
2016-10-05T01:00:00,508.0,409.0,0.0,0.0
2016-10-05T02:00:00,508.0,409.0,0.0,0.0
2016-10-05T03:00:00,508.0,409.0,0.0,0.0
2016-10-05T04:00:00,271.0,409.0,0.0,0.0
2016-10-05T05:00:00,271.0,409.0,0.0,0.0
2016-10-05T06:00:00,271.0,409.0,0.0,0.0
2016-10-05T07:00:00,271.0,409.0,0.0,0.0
2016-10-05T08:00:00,271.0,409.0,0.0,0.0
2016-10-05T09:00:00,270.5,409.0,0.0,0.0
2016-10-05T10:00:00,269.0,409.0,0.0,0.0
2016-10-05T11:00:00,269.0,409.0,0.0,0.0
2016-10-05T12:00:00,269.0,409.0,0.0,0.0
2016-10-05T13:00:00,269.0,409.0,0.0,0.0
2016-10-05T14:00:00,269.0,409.0,0.0,0.0
2016-10-05T15:00:00,269.0,409.0,0.0,0.0
2016-10-05T16:00:00,269.0,409.0,0.0,0.0
2016-10-05T17:00:00,269.0,409.0,0.0,0.0
